,logFC,logCPM,LR,PValue,FDR,change,ENSEMBL
ENSG00000130300,3.50333751917758,5.99063524531791,401.114081503114,3.15075002226512e-89,1.90582567346772e-84,UP,ENSG00000130300
ENSG00000136011,-4.25775849927405,1.39319568976806,381.502308731542,5.85985276373213e-85,1.77225386986315e-80,DOWN,ENSG00000136011
ENSG00000187730,5.12866928666995,1.30722671154276,367.891576956439,5.38600378669541e-82,1.08596199016544e-77,UP,ENSG00000187730
ENSG00000131097,3.73456121657726,-0.471801025773547,321.09081975874,8.3810479344856e-72,1.01390565492233e-67,UP,ENSG00000131097
ENSG00000182566,-4.90964323653752,2.42512910703325,313.634074762052,3.52842255030333e-70,3.04896033175354e-66,DOWN,ENSG00000182566
ENSG00000225697,3.2740789193991,3.92085010200207,312.999393619802,4.85106346069048e-70,3.66788908262807e-66,UP,ENSG00000225697
ENSG00000279484,-6.36516179337321,-1.81138894595778,307.37562416526,8.14582407834645e-69,4.47931460773654e-65,DOWN,ENSG00000279484
ENSG00000213347,3.35751797762161,2.72066425705206,295.71290250979,2.83013797581551e-66,1.22278132772235e-62,UP,ENSG00000213347
ENSG00000221818,5.73580107982539,-0.365862040878505,294.996483641489,4.05414426821742e-66,1.6348471899729e-62,UP,ENSG00000221818
ENSG00000164619,-3.88274473212551,0.140385433715187,278.968552688312,1.25999212994305e-62,4.23413355311085e-59,DOWN,ENSG00000164619
ENSG00000077152,3.92859052755165,2.5742271298659,273.205128791639,2.27185374198964e-61,6.54380424502236e-58,UP,ENSG00000077152
ENSG00000145708,-3.92934939099454,2.76458005512137,269.369246988672,1.55732661689112e-60,4.09563358271783e-57,DOWN,ENSG00000145708
ENSG00000225383,5.85529307199614,-2.33699806618443,265.409749955868,1.13596648302033e-59,2.74849362499736e-56,UP,ENSG00000225383
ENSG00000140945,3.01909413956649,2.59364961290298,259.906233006548,1.79868503101521e-58,4.18457154446338e-55,UP,ENSG00000140945
ENSG00000137135,3.66768226588408,1.80816665187361,258.194219358453,4.24754881613053e-58,9.17591902821797e-55,UP,ENSG00000137135
ENSG00000100526,4.62021012683421,2.57129967269831,256.970986598632,7.84844019508297e-58,1.63702224317303e-54,UP,ENSG00000100526
ENSG00000160339,-4.35441773048074,2.31246498070238,256.021018488582,1.26434149296554e-57,2.54924960754998e-54,DOWN,ENSG00000160339
ENSG00000158402,5.01010423474805,1.63589442571483,255.436858000638,1.69513953209518e-57,3.20423750054291e-54,UP,ENSG00000158402
ENSG00000161888,4.14767625280424,2.90640708394557,254.670958544662,2.48980572008291e-57,4.56373843625378e-54,UP,ENSG00000161888
ENSG00000019169,-4.25811768773241,3.06468103127294,249.672564098216,3.06072169630205e-56,4.74710087092098e-53,DOWN,ENSG00000019169
ENSG00000142748,-3.56343472364295,3.81507056345404,245.087413497041,3.05822650280953e-55,4.11080010448762e-52,DOWN,ENSG00000142748
ENSG00000146670,4.16424972371579,3.0945889151609,244.822033469106,3.49405357344971e-55,4.59452853371361e-52,UP,ENSG00000146670
ENSG00000233542,4.6150774672157,-2.71089472012086,242.567757912582,1.08350727872503e-54,1.36539975573999e-51,UP,ENSG00000233542
ENSG00000204291,4.45944153550561,3.97889493298813,242.471437452722,1.13719018241784e-54,1.40380326028755e-51,UP,ENSG00000204291
ENSG00000230733,3.26809980556385,2.63040296927524,241.441262873133,1.90743491008539e-54,2.3075384568249e-51,UP,ENSG00000230733
ENSG00000156509,4.73773593633118,-0.0340615763027144,237.255815611729,1.55981925352156e-53,1.71546085467295e-50,UP,ENSG00000156509
ENSG00000135451,4.96255249012652,2.64785375199993,236.629009369887,2.13674754545826e-53,2.30799259874427e-50,UP,ENSG00000135451
ENSG00000089685,4.8278781153495,4.03205835464471,236.38621477734,2.4137732097476e-53,2.56147919142479e-50,UP,ENSG00000089685
ENSG00000134057,4.03999856909831,3.88163748378393,236.29657765386,2.52489075161666e-53,2.63319985834118e-50,UP,ENSG00000134057
ENSG00000237649,4.55257744946473,3.41075030095886,234.4279970907,6.45222249221278e-53,6.39806613293387e-50,UP,ENSG00000237649
ENSG00000117724,4.72279559565892,4.082197984499,234.254790871213,7.03849398337504e-53,6.86684554945789e-50,UP,ENSG00000117724
ENSG00000154839,5.1947539750272,1.86963383866743,233.588729299704,9.8339115596397e-53,9.29427566280447e-50,UP,ENSG00000154839
ENSG00000164611,4.39952480512526,3.47479682122838,233.463923972204,1.04698994090909e-52,9.74312731472442e-50,UP,ENSG00000164611
ENSG00000143228,5.00583573802825,2.20766444000791,233.347563141484,1.10998545917937e-52,1.01728485537639e-49,UP,ENSG00000143228
ENSG00000157456,4.50615212354767,2.80372467292476,231.535189287178,2.75770711224733e-52,2.38297411150881e-49,UP,ENSG00000157456
ENSG00000131055,3.43330162345477,0.339159029565637,229.004507646173,9.82754114115159e-52,7.62113216084586e-49,UP,ENSG00000131055
ENSG00000198901,4.02106574099535,3.69064212148046,228.978125703331,9.95860347351269e-52,7.62501274564349e-49,UP,ENSG00000198901
ENSG00000123485,4.67364383930353,2.49271094793344,227.706886680217,1.8855716419047e-51,1.357791160423e-48,UP,ENSG00000123485
ENSG00000087586,3.40723004498773,3.64386703740862,226.917599129361,2.8027357431854e-51,1.92649863220225e-48,UP,ENSG00000087586
ENSG00000111665,4.04845277010826,2.35968869509111,226.110597380752,4.20327013248051e-51,2.85671240194923e-48,UP,ENSG00000111665
ENSG00000090889,4.72222694421009,2.97502052774054,226.086922285154,4.25354296958929e-51,2.85875896827241e-48,UP,ENSG00000090889
ENSG00000080986,4.05663147721132,2.43590148366818,225.0944396262,7.00184907125563e-51,4.60356355024033e-48,UP,ENSG00000080986
ENSG00000117650,4.71063326916817,2.50050435231113,224.150009623054,1.12511823411759e-50,7.24001614311751e-48,UP,ENSG00000117650
ENSG00000165304,4.55569495703854,2.29106504583316,221.374561719244,4.53482756787445e-50,2.8278623703669e-47,UP,ENSG00000165304
ENSG00000142945,4.74746992074148,2.81827479924963,220.877786314803,5.81992928094803e-50,3.51187654834162e-47,UP,ENSG00000142945
ENSG00000066279,4.48302850056874,3.78141299374618,220.862777801232,5.86396527216148e-50,3.51187654834162e-47,UP,ENSG00000066279
ENSG00000117399,5.08649804209105,3.70893249458995,219.903845576897,9.49199155059076e-50,5.41652438596353e-47,UP,ENSG00000117399
ENSG00000106462,3.12193778151275,3.05069703988648,219.102926659642,1.41925338492595e-49,8.02315876143935e-47,UP,ENSG00000106462
ENSG00000109805,4.5562037371847,2.7665099861246,218.728060935354,1.7132846044296e-49,9.42119628661254e-47,UP,ENSG00000109805
ENSG00000183763,3.53829517519409,1.36871528424396,218.3208535494,2.10210542210102e-49,1.13528707832185e-46,UP,ENSG00000183763
ENSG00000174371,4.34255229791666,1.72890234841837,218.21989419529,2.21144976042636e-49,1.17338748340938e-46,UP,ENSG00000174371
ENSG00000115163,4.88070932520252,1.15532115025672,217.142043604295,3.80009899376973e-49,1.98155506840641e-46,UP,ENSG00000115163
ENSG00000170312,4.2496555744621,3.38311330402956,216.816350785469,4.47549642934842e-49,2.29418498320701e-46,UP,ENSG00000170312
ENSG00000165480,4.29122878474907,1.55527847153194,216.242644613186,5.97021642762051e-49,2.98451612623066e-46,UP,ENSG00000165480
ENSG00000171388,4.63231835142267,2.44701961916274,215.998647265196,6.74864159692353e-49,3.34599863044844e-46,UP,ENSG00000171388
