geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04080	Neuroactive ligand-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04080+10886+1128+1129+1134+1136+1142+1144+1268+1394+152+186+200959+22953+23620+2555+2556+2563+2564+2566+2569+2689+2692+2740+2834+2837+2859+2891+2898+2900+2902+2903+2914+2915+2925+3352+3355+3358+339403+3952+4544+4986+5030+55584+55879+5644+5645+5746+623+6753+6755+680+6869+84634+887+9248+9568	277	56	17.57906011514259	3.18560831086536	2.220446049250313e-15	7.238654120556021e-13	10886;1128;1129;1134;1136;1142;1144;1268;1394;152;186;200959;22953;23620;2555;2556;2563;2564;2566;2569;2689;2692;2740;2834;2837;2859;2891;2898;2900;2902;2903;2914;2915;2925;3352;3355;3358;339403;3952;4544;4986;5030;55584;55879;5644;5645;5746;623;6753;6755;680;6869;84634;887;9248;9568	ENSG00000187730;ENSG00000268089;ENSG00000102287;ENSG00000184160;ENSG00000178623;ENSG00000100739;ENSG00000181072;ENSG00000126010;ENSG00000056291;ENSG00000179546;ENSG00000149403;ENSG00000183185;ENSG00000112164;ENSG00000106128;ENSG00000136928;ENSG00000118432;ENSG00000176884;ENSG00000135902;ENSG00000115353;ENSG00000124493;ENSG00000080644;ENSG00000275896;ENSG00000011677;ENSG00000144407;ENSG00000116014;ENSG00000162009;ENSG00000173080;ENSG00000183454;ENSG00000164418;ENSG00000186912;ENSG00000179097;ENSG00000278195;ENSG00000113327;ENSG00000146276;ENSG00000204983;ENSG00000134640;ENSG00000181408;ENSG00000120251;ENSG00000138435;ENSG00000151834;ENSG00000102239;ENSG00000174697;ENSG00000110148;ENSG00000168539;ENSG00000147246;ENSG00000168959;ENSG00000187848;ENSG00000180772;ENSG00000174343;ENSG00000169006;ENSG00000147432;ENSG00000082556;ENSG00000102195;ENSG00000120088;ENSG00000119973;ENSG00000136487
hsa04110	Cell cycle	http://www.kegg.jp/kegg-bin/show_pathway?hsa04110+1029+1031+1869+1870+23594+27127+2810+4171+4998+5347+699+701+7272+8318+890+891+898+9088+9133+9232+983+990+991+995	124	24	7.869326549738921	3.049816251531237	6.86775438074605e-7	1.119443964061606e-4	1029;1031;1869;1870;23594;27127;2810;4171;4998;5347;699;701;7272;8318;890;891;898;9088;9133;9232;983;990;991;995	ENSG00000158402;ENSG00000134057;ENSG00000164611;ENSG00000157456;ENSG00000117399;ENSG00000170312;ENSG00000127564;ENSG00000169679;ENSG00000101412;ENSG00000166851;ENSG00000112742;ENSG00000094804;ENSG00000093009;ENSG00000156970;ENSG00000147889;ENSG00000123080;ENSG00000145386;ENSG00000085840;ENSG00000091651;ENSG00000007968;ENSG00000073111;ENSG00000105173;ENSG00000175793;ENSG00000077935
hsa05033	Nicotine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05033+200959+2555+2556+2563+2564+2566+2569+2891+2902+2903+55879+774	40	12	2.538492435399652	4.727215189873418	4.043357817784532e-6	4.393782161992525e-4	200959;2555;2556;2563;2564;2566;2569;2891;2902;2903;55879;774	ENSG00000187730;ENSG00000268089;ENSG00000102287;ENSG00000183185;ENSG00000176884;ENSG00000011677;ENSG00000183454;ENSG00000113327;ENSG00000146276;ENSG00000148408;ENSG00000120251;ENSG00000151834
hsa04727	GABAergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04727+114+200959+2555+2556+2563+2564+2566+2569+2571+2572+2786+2792+3763+55879+6538+774+779+9568	88	18	5.584683357879234	3.223101265822785	7.667242000075625e-6	6.248802230061634e-4	114;200959;2555;2556;2563;2564;2566;2569;2571;2572;2786;2792;3763;55879;6538;774;779;9568	ENSG00000187730;ENSG00000268089;ENSG00000102287;ENSG00000128683;ENSG00000168243;ENSG00000081248;ENSG00000183185;ENSG00000136928;ENSG00000157542;ENSG00000011677;ENSG00000127928;ENSG00000113327;ENSG00000146276;ENSG00000148408;ENSG00000132164;ENSG00000151834;ENSG00000155897;ENSG00000136750
hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+10136+1280+1288+1294+1297+1301+1306+1357+1358+1504+169044+23436+255631+4224+5644+5645+6550	90	17	5.711607979649217	2.9763947491795593	4.0776064522018984e-5	0.002658599406835638	10136;1280;1288;1294;1297;1301;1306;1357;1358;1504;169044;23436;255631;4224;5644;5645;6550	ENSG00000204291;ENSG00000112280;ENSG00000112818;ENSG00000171502;ENSG00000066230;ENSG00000139219;ENSG00000169436;ENSG00000114270;ENSG00000060718;ENSG00000275896;ENSG00000197565;ENSG00000142789;ENSG00000091704;ENSG00000158516;ENSG00000204983;ENSG00000219073;ENSG00000168925
hsa05032	Morphine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05032+114+200959+2555+2556+2563+2564+2566+2569+2786+2792+3763+3765+5137+55879+774+9568	91	16	5.775070290534208	2.770529049010062	1.6622384477871233e-4	0.009031495566310038	114;200959;2555;2556;2563;2564;2566;2569;2786;2792;3763;3765;5137;55879;774;9568	ENSG00000187730;ENSG00000268089;ENSG00000102287;ENSG00000168243;ENSG00000154678;ENSG00000183185;ENSG00000136928;ENSG00000157542;ENSG00000011677;ENSG00000162728;ENSG00000127928;ENSG00000113327;ENSG00000146276;ENSG00000148408;ENSG00000151834;ENSG00000155897
hsa04742	Taste transduction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04742+114+22953+2555+2556+2914+29850+3352+3355+3359+5030+5137+6340+9177+9568	83	14	5.267371803454278	2.657871994306339	6.511684608594415e-4	0.03032584546288256	114;22953;2555;2556;2914;29850;3352;3355;3359;5030;5137;6340;9177;9568	ENSG00000154678;ENSG00000179546;ENSG00000136928;ENSG00000124493;ENSG00000070985;ENSG00000166736;ENSG00000011677;ENSG00000186912;ENSG00000179097;ENSG00000149305;ENSG00000166828;ENSG00000151834;ENSG00000187848;ENSG00000155897
hsa04723	Retrograde endocannabinoid signaling	http://www.kegg.jp/kegg-bin/show_pathway?hsa04723+114+1268+200959+2555+2556+2563+2564+2566+2569+2786+2792+2891+2915+3763+3765+55879+56901+774+779	148	19	9.392422010978711	2.0229074010719583	0.0024725410236721146	0.10075604671463867	114;1268;200959;2555;2556;2563;2564;2566;2569;2786;2792;2891;2915;3763;3765;55879;56901;774;779	ENSG00000187730;ENSG00000185633;ENSG00000268089;ENSG00000102287;ENSG00000168243;ENSG00000081248;ENSG00000183185;ENSG00000157542;ENSG00000118432;ENSG00000011677;ENSG00000162728;ENSG00000127928;ENSG00000113327;ENSG00000146276;ENSG00000148408;ENSG00000120251;ENSG00000151834;ENSG00000168959;ENSG00000155897
hsa04934	Cushing syndrome	http://www.kegg.jp/kegg-bin/show_pathway?hsa04934+1029+1031+11211+114+1392+1394+1586+1869+1870+3776+51176+6770+7475+779+8326+8911+89780+898+90993	154	19	9.773195876288659	1.9440928270042197	0.0038815498738684617	0.14059836209790205	1029;1031;11211;114;1392;1394;1586;1869;1870;3776;51176;6770;7475;779;8326;8911;89780;898;90993	ENSG00000101412;ENSG00000147889;ENSG00000123080;ENSG00000007968;ENSG00000105173;ENSG00000138795;ENSG00000148795;ENSG00000154342;ENSG00000115596;ENSG00000081248;ENSG00000157613;ENSG00000111432;ENSG00000100346;ENSG00000147465;ENSG00000188763;ENSG00000147571;ENSG00000082482;ENSG00000155897;ENSG00000120088
hsa04950	Maturity onset diabetes of the young	http://www.kegg.jp/kegg-bin/show_pathway?hsa04950+222546+3110+389692+4760+4821+4825	26	6	1.6500200830097738	3.636319376825706	0.004895817926759305	0.15960366441235335	222546;3110;389692;4760;4821;4825	ENSG00000182759;ENSG00000130675;ENSG00000185002;ENSG00000125820;ENSG00000162992;ENSG00000163623
