,x
1,ENSDARG00000002945
2,ENSDARG00000009401
3,ENSDARG00000010008
4,ENSDARG00000010758
5,ENSDARG00000013430
6,ENSDARG00000014488
7,ENSDARG00000015065
8,ENSDARG00000036186
9,ENSDARG00000038941
10,ENSDARG00000039100
11,ENSDARG00000039964
12,ENSDARG00000042186
13,ENSDARG00000044975
14,ENSDARG00000044976
15,ENSDARG00000053493
16,ENSDARG00000055192
17,ENSDARG00000058005
18,ENSDARG00000058556
19,ENSDARG00000059391
20,ENSDARG00000070480
21,ENSDARG00000071586
22,ENSDARG00000076830
23,ENSDARG00000077004
24,ENSDARG00000079302
25,ENSDARG00000088140
26,ENSDARG00000088514
27,ENSDARG00000089769
28,ENSDARG00000096975
29,ENSDARG00000100972
30,ENSDARG00000103398
31,ENSDARG00000104256
32,ENSDARG00000104359
