Uniprot,symbol,Fasta header,Sequence coverage [%],Distal#1_Ave,Distal#2_Ave,Distal#3_Ave,Proximal#1_Ave,Proximal#2_Ave,Proximal#3_Ave,Distal,Proximal,minus_LOG10_p_value,Difference,p_value
A0A0A0MPL4,stx7l,>tr|A0A0A0MPL4|A0A0A0MPL4_DANRE Uncharacterized protein OS=Danio rerio GN=stx7l PE=3 SV=1,15.1,22.60445,21.8553,20.9077,23.001875,21.27486667,21.276025,21.78915,21.85092222,2.04,-2.755,0.01 
A0A0B4J1A5,ewsr1a,>tr|A0A0B4J1A5|A0A0B4J1A5_DANRE Uncharacterized protein OS=Danio rerio GN=ewsr1a PE=4 SV=1,7.3,22.301625,21.9332,22.398425,22.5505,21.8496,22.8705,22.21108333,22.42353333,2.65,2.546,0.00 
A0A0B4J1A7,sid4,>tr|A0A0B4J1A7|A0A0B4J1A7_DANRE Uncharacterized protein OS=Danio rerio GN=sid4 PE=4 SV=1,12.3,22.48115,21.61173333,23.023525,22.16925,20.7844,23.61045,22.37213611,22.18803333,3.28,-2.234,0.00 
A0AUQ3,ccdc6b,>tr|A0AUQ3|A0AUQ3_DANRE Ccdc6b protein OS=Danio rerio GN=ccdc6b PE=2 SV=1,5.3,22.177,21.2696,20.894225,22.18215,21.2484,21.1819,21.44694167,21.53748333,3.14,2.447,0.00 
A0AUR9,gps1,>tr|A0AUR9|A0AUR9_DANRE G protein pathway suppressor 1 OS=Danio rerio GN=gps1 PE=2 SV=1,13.6,22.497775,21.9673,23.22475,22.3153,21.18083333,21.922325,22.563275,21.80615278,1.86,-2.683,0.01 
A0JME6,isoc2,">sp|A0JME6|ISOC2_DANRE Isochorismatase domain-containing protein 2, mitochondrial OS=Danio rerio GN=isoc2 PE=2 SV=1",26.9,22.6871,21.89833333,24.9146,23.538975,22.82693333,24.277875,23.16667778,23.54792778,2.43,2.412,0.00 
A0JMF4,16-Sep,>tr|A0JMF4|A0JMF4_DANRE Septin 7b OS=Danio rerio GN=sept15 PE=2 SV=1,17.2,21.91725,21.6706,24.806525,22.301825,21.92826667,24.448575,22.798125,22.89288889,1.96,3.572,0.01 
A0JML7,adpgk,>tr|A0JML7|A0JML7_DANRE ADP-dependent glucokinase OS=Danio rerio GN=adpgk PE=2 SV=1,21.5,24.50845,24.61093333,24.612275,23.75145,24.775,24.403925,24.57721944,24.310125,3.00,2.742,0.00 
A0JMN4,csk,>tr|A0JMN4|A0JMN4_DANRE Non-specific protein-tyrosine kinase OS=Danio rerio GN=csk PE=2 SV=1,6.2,22.5795,21.20706667,23.693725,22.87295,21.7526,24.0859,22.49343056,22.90381667,2.16,3.935,0.01 
A0PJR0,LOC792676,>tr|A0PJR0|A0PJR0_DANRE LOC792676 protein (Fragment) OS=Danio rerio GN=LOC792676 PE=2 SV=1,11.1,22.186475,21.39263333,22.220725,22.576725,20.94573333,21.03985,21.93327778,21.52076944,1.76,-3.013,0.02 
A1A5X4,add1,>tr|A1A5X4|A1A5X4_DANRE Adducin 1 (Alpha) OS=Danio rerio GN=add1 PE=2 SV=1,28.5,22.260575,22.34003333,24.4205,25.2224,24.8344,24.1849,23.00703611,24.74723333,2.42,3.319,0.00 
A1A5X7,taf15,>tr|A1A5X7|A1A5X7_DANRE Uncharacterized protein OS=Danio rerio GN=taf15 PE=2 SV=1,19.6,23.8751,24.05436667,24.687225,22.82805,24.46606667,23.960025,24.20556389,23.75138056,2.23,3.191,0.01 
