gene_symbol	Pvalue	log2FC	t.test_fdr
hapln1a	1.85826542688259e-21	-6.91993324745165	2.8440752358438e-18
itih3a	1.93471267905347e-17	-5.41074060091609	1.97405183686089e-14
capn12	2.02567461747654e-06	-5.20523649139194	0.000140922500093084
muc5.2	5.85217238875803e-12	-4.93009059494943	1.74506806949683e-09
zgc:172244	6.25878383093716e-07	-4.83646498140813	5.32170480736073e-05
itih2	1.87887968081189e-08	-4.56151584537393	2.39635445956883e-06
LOC100329690	8.35114361961877e-06	-4.16833945283867	0.000473386122586167
apobb.1	3.13935256770416e-22	-4.10362222415178	9.60955820974244e-19
LOC100538255	0.000133824040632529	-3.99477514474383	0.00439228334011616
vcanb	9.21263025394061e-06	-3.93061280267027	0.000503608614948995
krt93	0.000889336193902817	3.68031904718405	0.0217780647162922
fgfbp2a	0.00191450373630609	-3.60593776759185	0.0357335118099569
cyp8b3	1.29045407931358e-05	-3.49055179659627	0.000647554087996534
qdpra	8.21605093732108e-09	-3.47772668409119	1.19758723424475e-06
grna	1.48643182516009e-06	-3.46311401954327	0.000108332567067025
LOC100000275	0.00105675767474816	-3.45580829396016	0.0241398152418217
agr2	2.81775086293208e-05	-3.33807803876854	0.00126840226344634
apoc2	1.63002755589191e-11	-3.26619110926244	3.83808796045011e-09
hgd	9.61745358634218e-07	-3.1558046461077	7.35975635694836e-05
pah	0.000420655900857023	-3.0813470536275	0.011705706477485
zgc:77778	0.00257235260747689	-2.99358419126539	0.0448503952760044
hsd17b7	2.15343437094e-05	-2.95333185462275	0.000998736759007172
apoa4b.1	3.52403557972838e-16	-2.8911612750269	2.15741458190971e-13
aldh1a2	0.00066861403173014	-2.85976271278575	0.0174925431720167
si:dkey-65b12.6	5.75949030753275e-05	-2.81237045252549	0.00220372497891972
krt94	5.30296560447306e-12	2.79015665407461	1.74506806949683e-09
postna	1.12928548997752e-05	-2.65885263146056	0.000585888624545964
apoa4b.2	4.59554467550187e-08	-2.57237325838095	5.2099860191523e-06
lgals2a	0.00137684309241724	-2.55626763864363	0.0289566906927994
aldh1l1	4.94696307862726e-05	-2.47992084454514	0.00197191214505525
elnb	7.60173062195737e-05	-2.45060637416052	0.00277010683735851
ppp1r1c	0.0014748573948049	-2.36662849814973	0.0298976058642239
hpdb	7.76561144415238e-08	-2.32819383885928	8.19673676915532e-06
bhmt	2.30970296522852e-09	-2.28558192622851	3.9277782092025e-07
myh11b	0.000818805742290931	-2.23387213931888	0.0207137551830789
mbpb	1.23042261545424e-06	-2.21225916555661	9.18615518513522e-05
vim	0.000315014861277244	-2.19939560482009	0.00918343324161566
lmo7a	0.00141286288657243	2.15626492683926	0.0294202265020286
gstal	3.58418932524891e-05	-2.10581809823122	0.00154523993304041
apoc1l	8.79459799901932e-11	-2.06054986480888	1.92287603392844e-08
CT573337.1	0.00146414027468729	-1.9908309183107	0.0298782225387853
apobb.2	6.23887171784635e-05	-1.93189939410588	0.00232892516199118
cldne	0.000392492138538558	1.86886816928887	0.0112282096828647
LOC100150965	0.00151510913607247	1.85907672212829	0.0304593208436602
vtg5	8.94593982274376e-05	-1.84705745876305	0.0031475312410826
vtg2	1.35248160587322e-11	-1.84609410716941	3.4499551629816e-09
tgm8	4.86631720566622e-05	1.84597200757843	0.00197191214505525
col11a1b	5.32017252165764e-05	-1.84000563400431	0.00206139849225241
scel	3.08299090497641e-06	1.83057911169356	0.000205152938263756
ube2ka	0.000968176595994757	-1.81690709467322	0.0227968350795381
LOC563265	2.6320166019003e-05	1.81662293685848	0.00120247803259952
ighv1-4	0.000251504612143309	-1.73689500566323	0.00754760409579088
si:ch211-125o16.4	9.77567689899405e-09	1.73365435549086	1.36015213581004e-06
pcbd1	0.000668599359627406	-1.69187457213004	0.0174925431720167
si:dkey-56e3.2	0.000511485461065274	1.63985573589633	0.0139790803242929
anxa1c	1.61143806591003e-13	1.6377488104966	6.16576489968826e-11
fgg	3.86473479437618e-05	-1.63639070371265	0.00162054153501171
fga	4.35360341998527e-07	-1.63562727812205	3.80753716244998e-05
col5a3b	8.86027128822852e-05	1.62492023537683	0.0031475312410826
si:ch73-204p21.2	0.00153024308445212	1.618803119412	0.0304593208436602
vtg4	7.42923805184005e-09	-1.6136758657537	1.13704488383412e-06
si:dkeyp-93a5.3	0.00166384377548685	-1.60905825560856	0.0324396547564666
lrrc15	0.00185499485194791	-1.57616820987206	0.0352679456013203
zgc:111983	1.33005130565487e-05	1.56795674298413	0.000656659201066057
fgb	0.0014478278626347	-1.5633111690255	0.0298782225387853
ca2	6.271071141609e-12	1.55648306064875	1.74506806949683e-09
gmds	3.73406343738723e-05	1.55602416190101	0.00158749558081143
serpina1	0.00138114238521683	-1.55314229551638	0.0289566906927994
capn9	2.55085247724407e-09	1.54145564535054	4.10955759623373e-07
tgm1	0.000193157379743036	1.52459999405177	0.0060332116264636
zgc:174259	0.00188446630626255	-1.52259663157668	0.0356071071819116
zgc:136930	1.97825999562381e-05	-1.51503944348592	0.000946164663531952
tgm1l4	0.00124890921787818	1.51134163176241	0.0267336441673085
vtg4	1.40629660611189e-15	-1.50323461620947	7.1744565188475e-13
si:ch211-157c3.4	1.10191941020145e-09	1.48851569692367	2.24865020975108e-07
f2	9.819572109066e-05	-1.42877564339917	0.00341564888930125
