sample(compound name),M1D,F2D,F3D,F1D,M3D,M2D,M1P,M2P,F1P,M3P,F3P,F2P,,,,,,,,,,,,,,,,,,,,,,,,火山图,,,,聚类图,,
Label,D,D,D,D,D,D,P,P,P,P,P,P,D,P,FC,P-Value,,,groupA,groupB,groupAname,groupBname,type,,,,,,,,,,,FC,,meta,logFC,P-Value,,meta,D,P
Trimethylamine ,1.244330896,1.116782207,1.240133075,1.342402673,1.118861135,1.22491158,1.252448431,1.269661048,1.367965502,1.279973193,1.445196648,1.461520029,7.287421566,8.076764851,0.902269869,0.028443749,,,"M1D,F2D,F3D,F1D,M3D,M2D","M1P,M2P,F1P,M3P,F3P,F2P",Distal,Proximal,unpaired,,,,,,,,,,,0.902269869,,Trimethylamine ,-0.148369086,0.028443749,,Trimethylamine ,0.902269869,-0.119925337
Glycine ,1.177920136,1.224780254,1.007107117,1.134683227,0.898175147,0.995729104,1.058123552,1.106543317,1.276675435,1.088830984,1.680378677,1.274605477,6.438394985,7.485157442,0.860154918,0.136642354,,,,,,,,,,,,,,,,,,0.860154918,,Glycine ,-0.217331576,0.136642354,,Glycine ,0.860154918,-0.080689221
Trimethylamine-N-oxide ,3.130779857,3.455990351,3.139138326,3.330968508,3.169462405,3.107253597,3.062396394,3.029264085,3.264937774,3.036748733,3.179912935,3.188976237,19.33359304,18.76223616,1.030452494,0.201139421,,,gene_id,M1D,F2D,F3D,F1D,M3D,M2D,M1P,M2P,F1P,M3P,F3P,F2P,,,1.030452494,,Trimethylamine-N-oxide ,0.043277995,0.201139421,,Trimethylamine-N-oxide ,1.030452494,0.244417416
Putrescine ,2.903693982,2.914147506,2.847324765,2.784554216,2.614295213,2.742286524,2.771726192,2.71163772,2.696472067,2.750526119,2.733128619,2.834591685,16.80630221,16.4980824,1.018682159,0.332458763,,,Trimethylamine ,1.244330896,1.116782207,1.240133075,1.342402673,1.118861135,1.22491158,1.252448431,1.269661048,1.367965502,1.279973193,1.445196648,1.461520029,,,1.018682159,,Putrescine ,0.026703984,0.332458763,,Putrescine ,5.205372029,0.359162748
Sarcosine ,1.420768642,1.230055273,1.434585979,1.218676431,1.61330554,1.582507176,1.569318605,1.545104864,1.362347626,1.509989207,1.439038168,1.20829606,8.499899041,8.63409453,0.984457491,0.804766002,,,Glycine ,1.177920136,1.224780254,1.007107117,1.134683227,0.898175147,0.995729104,1.058123552,1.106543317,1.276675435,1.088830984,1.680378677,1.274605477,,,0.984457491,,Sarcosine ,-0.022599183,0.804766002,,Sarcosine ,5.028272629,0.782166819
Alanine ,2.553579083,2.380922537,2.502156908,2.504465453,2.383897559,2.384899262,2.718565221,2.660935334,2.695927677,2.718511539,2.677616375,2.683268851,14.7099208,16.154825,0.91055897,2.53435E-05,,,Trimethylamine-N-oxide ,3.130779857,3.455990351,3.139138326,3.330968508,3.169462405,3.107253597,3.062396394,3.029264085,3.264937774,3.036748733,3.179912935,3.188976237,,,0.91055897,,Alanine ,-0.135175643,2.53435E-05,,Alanine ,10.31619687,-0.135150299
Cadaverine ,1.046312858,0.99326605,1.162531034,1.140240614,1.01936566,1.119899362,1.452317417,1.344780088,1.26774726,1.272444669,1.502302045,1.348651233,6.481615578,8.188242712,0.791575898,0.000149485,,,Putrescine ,2.903693982,2.914147506,2.847324765,2.784554216,2.614295213,2.742286524,2.771726192,2.71163772,2.696472067,2.750526119,2.733128619,2.834591685,,,0.791575898,,Cadaverine ,-0.337200409,0.000149485,,Cadaverine ,9.109822321,-0.337050924
Aminoisobutyrate ,1.751697698,1.746637547,1.66988295,1.794952805,1.632903654,1.661639968,1.708367179,1.792885797,1.697081533,1.785317164,1.715436491,1.815164017,10.25771462,10.51425218,0.97560097,0.227775256,,,Sarcosine ,1.420768642,1.230055273,1.434585979,1.218676431,1.61330554,1.582507176,1.569318605,1.545104864,1.362347626,1.509989207,1.439038168,1.20829606,,,0.97560097,,Aminoisobutyrate ,-0.035636903,0.227775256,,Aminoisobutyrate ,5.132924405,0.192138353
Choline ,3.993674418,3.946056702,3.940753594,4.001731494,3.869326378,3.903423017,3.909885443,4.01262099,3.939418771,4.031472306,3.960543286,3.969845964,23.6549656,23.82378676,0.992913756,0.336043631,,,Alanine ,2.553579083,2.380922537,2.502156908,2.504465453,2.383897559,2.384899262,2.718565221,2.660935334,2.695927677,2.718511539,2.677616375,2.683268851,,,0.992913756,,Choline ,-0.010259683,0.336043631,,Choline ,9.072310521,0.325783948
Dimethylglycine ,1.786360444,1.652176465,1.712599287,1.700235602,1.744293301,1.817661617,2.08789187,1.950608018,1.903130514,2.007841428,1.896935788,1.937662019,10.41332672,11.78406964,0.883678308,0.000144379,,,Cadaverine ,1.046312858,0.99326605,1.162531034,1.140240614,1.01936566,1.119899362,1.452317417,1.344780088,1.26774726,1.272444669,1.502302045,1.348651233,,,0.883678308,,Dimethylglycine ,-0.178406825,0.000144379,,Dimethylglycine ,5.007076255,-0.178262446
4-Hydroxybutyrate ,3.44123683,3.605402851,3.502343832,3.456662876,3.620000825,3.523250457,3.253047776,3.330296478,3.371164325,3.379672025,3.294203866,3.213970547,21.14889767,19.84235502,1.065846148,0.000315294,,,Aminoisobutyrate ,1.751697698,1.746637547,1.66988295,1.794952805,1.632903654,1.661639968,1.708367179,1.792885797,1.697081533,1.785317164,1.715436491,1.815164017,,,1.065846148,,4-Hydroxybutyrate ,0.091999205,0.000315294,,4-Hydroxybutyrate ,6.38176382,0.092314499
Serine ,2.700839481,2.612070721,2.668158186,2.762123355,2.575507285,2.568337525,2.639759981,2.67338605,2.835794092,2.624959757,2.824317797,2.830426183,15.88703655,16.42864386,0.967032744,0.113532456,,,Choline ,3.993674418,3.946056702,3.940753594,4.001731494,3.869326378,3.903423017,3.909885443,4.01262099,3.939418771,4.031472306,3.960543286,3.969845964,,,0.967032744,,Serine ,-0.048363354,0.113532456,,Serine ,12.9288943,0.065169102
Cytosine ,1.865271273,1.527635377,1.767077868,1.891541943,1.761269255,1.761062886,1.983243651,1.894716836,1.733477207,1.566957565,1.819575962,1.73223041,10.5738586,10.73020163,0.985429628,0.748725543,,,Dimethylglycine ,1.786360444,1.652176465,1.712599287,1.700235602,1.744293301,1.817661617,2.08789187,1.950608018,1.903130514,2.007841428,1.896935788,1.937662019,,,0.985429628,,Cytosine ,-0.021175246,0.748725543,,Cytosine ,6.827868863,0.727550297
Creatinine ,2.046382929,1.984777456,2.080554227,2.183245455,2.156131895,2.014485671,2.151973538,2.164328374,2.229885695,2.095305616,2.132138087,2.0791765,12.46557763,12.85280781,0.969871939,0.128315332,,,4-Hydroxybutyrate ,3.44123683,3.605402851,3.502343832,3.456662876,3.620000825,3.523250457,3.253047776,3.330296478,3.371164325,3.379672025,3.294203866,3.213970547,,,0.969871939,,Creatinine ,-0.044133827,0.128315332,,Creatinine ,10.85771838,0.084181505
Proline ,2.975306491,2.775415595,3.006800769,2.948559535,2.916936325,2.969638265,3.211580803,3.197346443,3.102809413,3.186354156,3.244374387,3.073195063,17.59265698,19.01566027,0.92516677,0.000266927,,,Serine ,2.700839481,2.612070721,2.668158186,2.762123355,2.575507285,2.568337525,2.639759981,2.67338605,2.835794092,2.624959757,2.824317797,2.830426183,,,0.92516677,,Proline ,-0.112214647,0.000266927,,Proline ,9.204870507,-0.11194772
5-Aminovaleric Acid ,2.236164319,2.107117256,2.398359392,2.260184587,2.180626796,2.233265056,2.457530262,2.537447902,2.461775024,2.484921176,2.692366071,2.408549817,13.41571741,15.04259025,0.891848889,0.00074735,,,Cytosine ,1.865271273,1.527635377,1.767077868,1.891541943,1.761269255,1.761062886,1.983243651,1.894716836,1.733477207,1.566957565,1.819575962,1.73223041,,,0.891848889,,5-Aminovaleric Acid ,-0.165128808,0.00074735,,5-Aminovaleric Acid ,6.010612826,-0.164381458
Betaine ,3.498873817,3.460095823,3.500099394,3.461160734,3.500517077,3.495825855,3.538456084,3.488781463,3.505454779,3.608981847,3.536515635,3.652635295,20.9165727,21.3308251,0.980579635,0.028489266,,,Creatinine ,2.046382929,1.984777456,2.080554227,2.183245455,2.156131895,2.014485671,2.151973538,2.164328374,2.229885695,2.095305616,2.132138087,2.0791765,,,0.980579635,,Betaine ,-0.028293295,0.028489266,,Betaine ,7.287199838,0.000195971
Valine ,1.918427789,1.787531389,2.035942067,1.941162842,1.918697618,1.946460566,2.21347264,2.200383784,2.152747036,2.195183964,2.376815945,2.04824026,11.54822227,13.18684363,0.875738167,0.000520066,,,Proline ,2.975306491,2.775415595,3.006800769,2.948559535,2.916936325,2.969638265,3.211580803,3.197346443,3.102809413,3.186354156,3.244374387,3.073195063,,,0.875738167,,Valine ,-0.191428505,0.000520066,,Valine ,10.37966177,-0.190908439
Homoserine ,0.937152054,1.098970479,1.001964585,0.986694474,1.094773142,1.037506343,0.765305691,0.855812495,0.866261517,0.923537144,0.784460069,0.801321285,6.157061077,4.996698201,1.232225928,0.000286407,,,5-Aminovaleric Acid ,2.236164319,2.107117256,2.398359392,2.260184587,2.180626796,2.233265056,2.457530262,2.537447902,2.461775024,2.484921176,2.692366071,2.408549817,,,1.232225928,,Homoserine ,0.301266798,0.000286407,,Homoserine ,8.818062992,0.301553205
Threonine ,2.743196241,2.735514101,2.815830208,2.8141446,2.843865782,2.833377713,2.880280465,2.882456659,2.899390428,2.866429245,2.946994875,2.72735042,16.78592865,17.20290209,0.975761447,0.080097533,,,Betaine ,3.498873817,3.460095823,3.500099394,3.461160734,3.500517077,3.495825855,3.538456084,3.488781463,3.505454779,3.608981847,3.536515635,3.652635295,,,0.975761447,,Threonine ,-0.035399612,0.080097533,,Threonine ,11.77389422,0.044697921
Niacinamide ,2.414683124,1.982890674,2.156270403,2.283994952,1.971847786,1.973409106,2.455507251,2.352311601,2.267988478,1.916822631,2.5499586,2.360392635,12.78309605,13.9029812,0.919449999,0.143935129,,,Valine ,1.918427789,1.787531389,2.035942067,1.941162842,1.918697618,1.946460566,2.21347264,2.200383784,2.152747036,2.195183964,2.376815945,2.04824026,,,0.919449999,,Niacinamide ,-0.121156974,0.143935129,,Niacinamide ,7.539690168,0.022778155
Taurine ,4.053401075,3.933450346,3.985199673,3.969861894,3.923811653,3.998659696,4.104662756,3.980805565,4.017505849,3.920494284,3.999275583,4.057438427,23.86438434,24.08018246,0.991038352,0.29174843,,,Homoserine ,0.937152054,1.098970479,1.001964585,0.986694474,1.094773142,1.037506343,0.765305691,0.855812495,0.866261517,0.923537144,0.784460069,0.801321285,,,0.991038352,,Taurine ,-0.012987206,0.29174843,,Taurine ,3.50035685,0.278761224
1-Methylhistamine ,1.60814113,1.550760243,1.65991524,1.671890799,1.712942882,1.649176545,1.651165709,1.642273647,1.607955202,1.561634815,1.608746247,1.584269076,9.852826839,9.656044696,1.020379167,0.248713158,,,Threonine ,2.743196241,2.735514101,2.815830208,2.8141446,2.843865782,2.833377713,2.880280465,2.882456659,2.899390428,2.866429245,2.946994875,2.72735042,,,1.020379167,,1-Methylhistamine ,0.029105348,0.248713158,,1-Methylhistamine ,9.561153707,0.277818507
Pyroglutamic Acid ,0.899484331,0.687259841,0.84057505,0.946321412,0.865220024,0.893457206,1.028667645,1.177104959,1.1283243,1.010798472,1.167858577,1.110373645,5.132317864,6.623127598,0.774908499,0.000322729,,,Niacinamide ,2.414683124,1.982890674,2.156270403,2.283994952,1.971847786,1.973409106,2.455507251,2.352311601,2.267988478,1.916822631,2.5499586,2.360392635,,,0.774908499,,Pyroglutamic Acid ,-0.367902128,0.000322729,,Pyroglutamic Acid ,7.602082365,-0.367579399
Pipecolate ,2.183081749,1.959414512,2.154158101,2.191702201,2.051492555,1.993628421,2.380283021,2.388579648,2.365273729,2.350566196,2.618369997,2.471770372,12.53347754,14.57484296,0.859939114,0.00017046,,,Taurine ,4.053401075,3.933450346,3.985199673,3.969861894,3.923811653,3.998659696,4.104662756,3.980805565,4.017505849,3.920494284,3.999275583,4.057438427,,,0.859939114,,Pipecolate ,-0.217693579,0.00017046,,Pipecolate ,12.83714741,-0.217523119
Agmanite ,0.823262501,0.98508086,0.888074999,0.872804895,0.980883524,0.923616743,0.65141629,0.741922999,0.752372013,0.809647599,0.670570644,0.687431841,5.473723522,4.313361386,1.269015747,0.000286407,,,1-Methylhistamine ,1.60814113,1.550760243,1.65991524,1.671890799,1.712942882,1.649176545,1.651165709,1.642273647,1.607955202,1.561634815,1.608746247,1.584269076,,,1.269015747,,Agmanite ,0.343709972,0.000286407,,Agmanite ,6.023665885,0.343996379
Creatine ,3.560980624,3.37620635,3.531250345,3.615773872,3.446539451,3.489979742,3.68696435,3.692136266,3.738516302,3.640751867,3.690022724,3.739087415,21.02073038,22.18747892,0.9474141,0.000445379,,,Pyroglutamic Acid ,0.899484331,0.687259841,0.84057505,0.946321412,0.865220024,0.893457206,1.028667645,1.177104959,1.1283243,1.010798472,1.167858577,1.110373645,,,0.9474141,,Creatine ,-0.077932951,0.000445379,,Creatine ,4.236444794,-0.077487572
Hydroxyproline/Aminolevulinate ,2.280514737,2.105074311,2.286774585,2.310090366,2.181154479,2.311758149,2.358997254,2.440106999,2.479020652,2.296454037,2.423685975,2.439130704,13.47536663,14.43739562,0.933365475,0.004363883,,,Pipecolate ,2.183081749,1.959414512,2.154158101,2.191702201,2.051492555,1.993628421,2.380283021,2.388579648,2.365273729,2.350566196,2.618369997,2.471770372,,,0.933365475,,Hydroxyproline/Aminolevulinate ,-0.099485991,0.004363883,,Hydroxyproline/Aminolevulinate ,8.37407204,-0.095122108
Leucine ,2.84973366,2.647287924,2.985677551,2.90175637,2.745675328,2.780350452,3.103430501,3.129536742,3.12124667,3.007894992,3.343173476,3.077343536,16.91048129,18.78262592,0.900325724,0.000926131,,,Agmanite ,0.823262501,0.98508086,0.888074999,0.872804895,0.980883524,0.923616743,0.65141629,0.741922999,0.752372013,0.809647599,0.670570644,0.687431841,,,0.900325724,,Leucine ,-0.151481053,0.000926131,,Leucine ,3.067975808,-0.150554923
iso-Leucine ,2.522782093,2.308586012,2.772605175,2.594180227,2.481324858,2.55558177,2.898136418,2.904787187,2.864703378,2.773919957,3.159622233,2.770712947,15.23506014,17.37188212,0.876995367,0.001829352,,,Creatine ,3.560980624,3.37620635,3.531250345,3.615773872,3.446539451,3.489979742,3.68696435,3.692136266,3.738516302,3.640751867,3.690022724,3.739087415,,,0.876995367,,iso-Leucine ,-0.189358874,0.001829352,,iso-Leucine ,11.94685737,-0.187529521
Ornithine ,1.811804316,1.920884547,1.722525057,1.746000345,1.545787804,1.466703751,1.489116599,1.697102793,1.76961077,1.770714117,1.803777291,1.779738917,10.21370582,10.31006049,0.990654306,0.852157516,,,Hydroxyproline/Aminolevulinate ,2.280514737,2.105074311,2.286774585,2.310090366,2.181154479,2.311758149,2.358997254,2.440106999,2.479020652,2.296454037,2.423685975,2.439130704,,,0.990654306,,Ornithine ,-0.013546385,0.852157516,,Ornithine ,8.149925022,0.838611131
Asparagine ,2.188839785,1.955097469,2.298010845,2.153600864,2.231426531,2.269979871,2.588544607,2.476755489,2.326746595,2.424392373,2.399483789,2.368980305,13.09695537,14.58490316,0.897980276,0.002759325,,,Leucine ,2.84973366,2.647287924,2.985677551,2.90175637,2.745675328,2.780350452,3.103430501,3.129536742,3.12124667,3.007894992,3.343173476,3.077343536,,,0.897980276,,Asparagine ,-0.155244338,0.002759325,,Asparagine ,10.32639228,-0.152485013
Aspartic Acid ,3.287026036,2.82337432,2.952696413,3.401398084,2.889180544,3.275756545,3.102755738,2.958712664,3.203842582,2.86230897,2.840160332,2.915444922,18.62943194,17.88322521,1.041726631,0.308139736,,,iso-Leucine ,2.522782093,2.308586012,2.772605175,2.594180227,2.481324858,2.55558177,2.898136418,2.904787187,2.864703378,2.773919957,3.159622233,2.770712947,,,1.041726631,,Aspartic Acid ,0.058976736,0.308139736,,Aspartic Acid ,9.745981768,0.367116472
Homocysteine ,1.087319207,0.558351686,0.693457083,1.07824843,0.482509556,0.959778307,0.773748038,0.682919797,0.973100886,0.588328231,0.619812663,0.574642072,4.859664269,4.212551687,1.153615345,0.409229293,,,Ornithine ,1.811804316,1.920884547,1.722525057,1.746000345,1.545787804,1.466703751,1.489116599,1.697102793,1.76961077,1.770714117,1.803777291,1.779738917,,,1.153615345,,Homocysteine ,0.20616226,0.409229293,,Homocysteine ,6.50784567,0.615391554
Tyramine ,0.657737669,0.819555842,0.722550076,0.707279992,0.81535851,0.758091781,0.485891884,0.576398328,0.586847318,0.64412279,0.505046173,0.521907316,4.48057387,3.320213809,1.349483536,0.000286407,,,Asparagine ,2.188839785,1.955097469,2.298010845,2.153600864,2.231426531,2.269979871,2.588544607,2.476755489,2.326746595,2.424392373,2.399483789,2.368980305,,,1.349483536,,Tyramine ,0.432407375,0.000286407,,Tyramine ,8.542340003,0.432693783
Spermidine ,1.058704008,1.139165445,1.136923197,0.961363077,1.026089172,1.050067001,1.239050711,0.953895147,0.891169187,0.980940021,1.242041634,1.370795997,6.3723119,6.677892697,0.954239936,0.560016063,,,Aspartic Acid ,3.287026036,2.82337432,2.952696413,3.401398084,2.889180544,3.275756545,3.102755738,2.958712664,3.203842582,2.86230897,2.840160332,2.915444922,,,0.954239936,,Spermidine ,-0.067576029,0.560016063,,Spermidine ,9.57215416,0.492440034
Acetylcholine ,2.507299713,2.391345822,2.429186996,2.543190618,2.371962399,2.514612247,2.561984981,2.612236497,2.77744894,2.529107432,2.575781267,2.741219077,14.7575978,15.79777819,0.934156539,0.006690634,,,Homocysteine ,1.087319207,0.558351686,0.693457083,1.07824843,0.482509556,0.959778307,0.773748038,0.682919797,0.973100886,0.588328231,0.619812663,0.574642072,,,0.934156539,,Acetylcholine ,-0.098263769,0.006690634,,Acetylcholine ,2.716939505,-0.091573135
Glutamine ,3.527315316,3.322075393,3.58043991,3.595464169,3.483191108,3.576110821,3.706380276,3.796068164,3.748127618,3.66778738,3.799112395,3.795228195,21.08459672,22.51270403,0.936564381,0.000540397,,,Tyramine ,0.657737669,0.819555842,0.722550076,0.707279992,0.81535851,0.758091781,0.485891884,0.576398328,0.586847318,0.64412279,0.505046173,0.521907316,,,0.936564381,,Glutamine ,-0.094549923,0.000540397,,Glutamine ,2.60764066,-0.094009526
Lysine ,2.66091358,2.504643687,2.611104337,2.637153364,2.500954001,2.47850016,2.896852308,2.835439633,2.873039425,2.830963499,3.163293886,2.959166612,15.39326913,17.55875536,0.876671997,0.000139563,,,Spermidine ,1.058704008,1.139165445,1.136923197,0.961363077,1.026089172,1.050067001,1.239050711,0.953895147,0.891169187,0.980940021,1.242041634,1.370795997,,,0.876671997,,Lysine ,-0.189890929,0.000139563,,Lysine ,4.470449649,-0.189751366
Deoxycarnitine ,0.146705017,0.308519878,0.211515798,1.026974891,0.304322604,0.946022587,0.867019767,0.951109126,1.123243645,1.003421727,0.9530255,1.033433617,2.944060775,5.931253382,0.49636402,0.012154485,,,Acetylcholine ,2.507299713,2.391345822,2.429186996,2.543190618,2.371962399,2.514612247,2.561984981,2.612236497,2.77744894,2.529107432,2.575781267,2.741219077,,,0.49636402,,Deoxycarnitine ,-1.010529551,0.012154485,,Deoxycarnitine ,8.342471796,-0.998375066
