sample(compound name),M1 D,F2 D,F3 D,F1 D,M3 D,M2 D,M1 P,M2 P,F1 P,M3 P,F3 P,F2 P,,sample(compound name),Label,Trimethylamine ,Glycine ,Trimethylamine-N-oxide ,Putrescine ,Sarcosine ,Alanine ,Cadaverine ,Aminoisobutyrate ,Choline ,Dimethylglycine ,4-Hydroxybutyrate ,Serine ,Cytosine ,Creatinine ,Proline ,5-Aminovaleric Acid ,Betaine ,Valine ,Homoserine ,Threonine ,Niacinamide ,Taurine ,1-Methylhistamine ,Pyroglutamic Acid ,Pipecolate ,Agmanite ,Creatine ,Hydroxyproline/Aminolevulinate ,Leucine ,iso-Leucine ,Ornithine ,Asparagine ,Aspartic Acid ,Homocysteine ,Tyramine ,Spermidine ,Acetylcholine ,Glutamine ,Lysine ,Deoxycarnitine ,Glutamic acid ,Methionine ,Cystamine ,Histidine ,Tryptamine ,Carnitine ,Phenylalanine ,1/3-Methylhistidine ,Arginine ,Cysteinyl-Glycine ,Tyrosine ,Sorbitol ,213C-Tyrosine ,Acetylcarnitine ,Tryptophan ,L-Kynurenine ,Cystine ,Cytidine ,Uridine ,Adenosine ,Inosine ,1-Methyladenosine ,6-Methyladenosine ,Guanosine ,GMP ,Propionate ,Pyruvate ,lactate ,Oxalic Acid ,Glyceraldehyde ,1C13-Lactate ,Acetoacetate ,isoValeric Acid ,gamma-Aminobutyrate ,Malonic Acid ,3HBA ,Glycerate ,Uracil ,Fumaric Acid ,Maleic Acid ,N-AcetylGlycine ,Guanidinoacetate ,2-Hydroxyisovaleric Acid ,Succinate ,Erythrose ,Benzoic acid ,Nicotinate ,Citraconic Acid ,3-Methyl-2-Oxovaleric Acid ,D-Leucic Acid ,Glutaric Acid ,Oxalacetate ,Adenine ,Hypoxanthine ,Anthranilate ,Adipic Acid ,Alpha-Ketoglutaric Acid ,Mevalonate ,2-Hydroxyglutarate ,Oxypurinol ,Xanthine ,Dopamine ,Orotate ,Allantoin ,2-Aminoadipate ,Quinolinate ,PEP ,Homogentisate ,Urate ,D-GA3P ,Glycerol-3-P ,Aconitate ,Shikimic Acid ,Citrulline ,Ascorbic Acid ,Hippuric Acid ,Inositol ,Glucose ,Fructose ,OH-Phenylpyruvate ,Homovanilate ,4-Pyridoxic acid ,2/3-Phosphoglyceric Acid ,Azelaic Acid ,Glucoronate ,Xanthurenate ,Pentothenate ,Cystathionine ,Ribose-5-P ,Melatonin ,Biotin ,Pyridoxal-5-P ,G1P/G6P/F6P/F1P ,Margaric Acid ,Linoleic Acid ,Xanthosine ,13-HODE ,Reduced glutathione ,N-Acetylneuraminate ,DTMP ,CMP ,Sucrose ,AMP ,IMP ,UDP ,ADP ,GDP ,Glycochenodeoxycholate ,Adenylosuccinate ,Glycocholate ,Oxidized glutathione 
Label,D,D,D,D,D,D,P,P,P,P,P,P,,M1 D,D,1.244330896,1.177920136,3.130779857,2.903693982,1.420768642,2.553579083,1.046312858,1.751697698,3.993674418,1.786360444,3.44123683,2.700839481,1.865271273,2.046382929,2.975306491,2.236164319,3.498873817,1.918427789,0.937152054,2.743196241,2.414683124,4.053401075,1.60814113,0.899484331,2.183081749,0.823262501,3.560980624,2.280514737,2.84973366,2.522782093,1.811804316,2.188839785,3.287026036,1.087319207,0.657737669,1.058704008,2.507299713,3.527315316,2.66091358,0.146705017,3.833161178,1.833145307,1.18017625,3.14624012,1.745034757,2.612364418,2.746398455,1.719119452,3.085537283,0.643506195,2.32103081,1.019603215,4.295263049,2.976539585,2.012091207,1.448815403,1.670232566,2.873850291,2.063210744,2.83099658,3.790736705,0.795253116,0.293911293,3.209776416,1.689377039,-0.036135175,0.904114627,2.772133357,1.039557403,1.481058837,4.147174084,0.590467628,1.675337554,1.147139164,1.641408008,2.170199477,1.432778003,1.916573739,1.588399631,1.742539604,0.775439556,1.480426616,1.485176193,2.715967904,1.053040236,2.641306798,1.447322776,2.04896259,1.372753873,1.565949983,1.762403381,2.710336514,2.118252841,3.680318573,1.994966991,1.953224437,2.010632093,0.8960092,2.690929137,2.263185833,2.712059904,1.187672341,1.745794719,1.085389114,2.013050737,0.96351806,1.820012886,1.516323525,2.64569104,1.470012775,2.599865471,1.158339189,1.268669858,2.676015897,3.163697375,1.833520399,2.787325928,2.046427583,1.911584344,1.327203622,1.765438659,3.16513292,1.443687275,3.490302588,1.597568735,2.249156463,2.829218556,2.243487675,2.56157206,0.590790375,2.45300339,0.252519351,2.816113871,1.974012507,0.156093383,2.396276887,2.033400857,2.477972481,1.702190811,1.701749703,1.882548417,2.068471498,2.507766472,3.741016212,1.615395034,1.201082574,1.243654402,1.625646605,0.89965046,0.855405138,2.242937977
Trimethylamine ,1.244330896,1.116782207,1.240133075,1.342402673,1.118861135,1.22491158,1.252448431,1.269661048,1.367965502,1.279973193,1.445196648,1.461520029,,F2 D,D,1.116782207,1.224780254,3.455990351,2.914147506,1.230055273,2.380922537,0.99326605,1.746637547,3.946056702,1.652176465,3.605402851,2.612070721,1.527635377,1.984777456,2.775415595,2.107117256,3.460095823,1.787531389,1.098970479,2.735514101,1.982890674,3.933450346,1.550760243,0.687259841,1.959414512,0.98508086,3.37620635,2.105074311,2.647287924,2.308586012,1.920884547,1.955097469,2.82337432,0.558351686,0.819555842,1.139165445,2.391345822,3.322075393,2.504643687,0.308519878,3.633296955,1.71566398,1.191008285,3.098203595,1.480240799,2.524261781,2.732422004,1.512918598,2.764395789,0.488717923,2.039110995,1.173883159,4.49912287,2.910952563,1.796367106,1.610633915,1.832051084,2.500100029,1.66356709,3.137499469,3.430080856,0.920704567,0.455727956,2.789913884,1.078911844,0.125674851,1.065933037,2.775553575,1.201375865,1.546854118,4.322859697,0.752285675,1.837156072,0.840628492,1.803226526,2.251621964,1.376955138,1.476203235,1.718079346,1.956604699,0.953842242,1.642245129,1.612965568,2.648454547,1.214858701,2.379290134,1.460987677,2.138035701,1.303423122,1.658213178,1.998316231,2.460966273,2.368668066,3.452017644,2.156785511,2.027845596,1.855837992,1.057827605,2.430736818,2.141916255,2.661563725,1.192333682,1.93510778,1.247207587,1.684449666,0.934425475,1.438970371,1.678142039,2.560244102,1.484463143,2.275132746,1.402616568,1.451156313,2.457766671,2.437623132,1.109213679,2.752983279,2.146668553,2.073402864,1.437037569,1.772305742,3.405614625,1.662707079,3.662406146,0.879868105,2.465253219,2.463657402,1.704211175,2.21470605,0.752608423,2.11121556,0.414335624,2.872550402,2.033401028,0.317908398,1.979078439,2.185931626,2.343467609,1.163714718,1.93850762,1.749262183,2.449314753,2.842562306,3.561023369,1.489222582,1.079966106,0.913148026,1.787465122,0.637790268,1.017223519,1.946230862
Glycine ,1.177920136,1.224780254,1.007107117,1.134683227,0.898175147,0.995729104,1.058123552,1.106543317,1.276675435,1.088830984,1.680378677,1.274605477,,F3 D,D,1.240133075,1.007107117,3.139138326,2.847324765,1.434585979,2.502156908,1.162531034,1.66988295,3.940753594,1.712599287,3.502343832,2.668158186,1.767077868,2.080554227,3.006800769,2.398359392,3.500099394,2.035942067,1.001964585,2.815830208,2.156270403,3.985199673,1.65991524,0.84057505,2.154158101,0.888074999,3.531250345,2.286774585,2.985677551,2.772605175,1.722525057,2.298010845,2.952696413,0.693457083,0.722550076,1.136923197,2.429186996,3.58043991,2.611104337,0.211515798,3.815159908,1.918496595,1.214214955,3.192611634,1.700240094,2.52939941,2.986894068,1.74930834,3.135075324,0.326475254,2.354874285,1.0961022,4.365370787,2.925356117,2.076088391,1.513627977,1.735045142,2.738771551,1.936386908,3.099948164,3.633152942,0.659002983,0.358722958,3.087526777,1.53577609,0.028673231,0.96892715,2.686228897,1.104369952,1.308692584,4.225874113,0.655279973,1.740150131,1.084628959,1.706220584,2.238456989,1.420322602,1.706076994,1.462498908,1.790425673,0.932772405,1.54523919,1.516458157,2.666917338,1.117852786,2.671554231,1.490159911,2.054576363,1.24125586,1.636879444,1.873677397,2.773445614,2.320901784,3.63727054,2.059779568,1.996827894,2.023490367,0.960821721,2.600152603,2.246487696,2.708271514,1.163550125,1.798118626,1.150201668,1.820718255,0.958079028,1.716856787,1.581136099,2.952049921,1.467727352,2.368609672,1.227559089,0.862124294,2.740950337,3.022799108,1.487616194,2.738255633,2.057205573,1.976396921,1.262685696,1.674039821,3.264038242,1.526517074,3.35251606,1.313020141,2.318531345,2.593681447,2.313949614,2.379035974,0.65560272,2.378007248,0.317330824,2.908179374,2.056744026,0.220904239,2.286742345,1.96536265,2.377042297,1.504826293,1.80403921,1.906708459,1.918296284,2.722051977,3.706766438,1.571297344,1.138064079,1.148057058,1.690459181,0.728270465,0.920217647,2.11211773
Trimethylamine-N-oxide ,3.130779857,3.455990351,3.139138326,3.330968508,3.169462405,3.107253597,3.062396394,3.029264085,3.264937774,3.036748733,3.179912935,3.188976237,,F1 D,D,1.342402673,1.134683227,3.330968508,2.784554216,1.218676431,2.504465453,1.140240614,1.794952805,4.001731494,1.700235602,3.456662876,2.762123355,1.891541943,2.183245455,2.948559535,2.260184587,3.461160734,1.941162842,0.986694474,2.8141446,2.283994952,3.969861894,1.671890799,0.946321412,2.191702201,0.872804895,3.615773872,2.310090366,2.90175637,2.594180227,1.746000345,2.153600864,3.401398084,1.07824843,0.707279992,0.961363077,2.543190618,3.595464169,2.637153364,1.026974891,3.851975506,1.897817009,1.053191959,3.159041517,1.67471481,2.572597414,2.887248683,1.900723773,2.97254597,0.692610446,2.155676327,1.005853962,4.332761083,3.028064426,2.06961251,1.498357857,1.719775022,2.871323534,2.048017555,2.723378526,3.677953667,0.752403559,0.343453029,3.192170001,1.567506575,0.013403984,0.953657042,2.767008341,1.089099838,1.446761791,4.206309688,0.640009901,1.724880011,1.097084081,1.690950464,2.281057016,1.530189078,1.943137953,1.616886979,1.702354243,0.895586734,1.52996907,1.593763653,2.693515495,1.102582672,2.598871307,1.488856073,2.116905587,1.256954745,1.619741821,1.745765691,2.654874834,2.04178682,3.654750166,2.044509448,1.9380869,1.984986925,0.945551613,2.664483402,2.139123189,2.62842147,1.345106737,1.719305853,1.134931553,2.024117667,1.032103721,1.860189358,1.56586598,2.667552601,1.437223426,2.627818557,1.291654907,0.986382617,2.756611648,2.807195813,1.764942065,2.744467087,2.201698765,1.961126801,1.299144962,1.710118071,3.271430187,1.463335606,3.4544054,1.332711173,2.292964136,2.739848439,1.714787771,2.624515153,0.640332649,2.465229807,0.302060935,2.704937079,1.963065345,0.205634479,2.372681747,2.038063744,2.444519697,1.5354414,1.784684864,1.746919375,2.476006436,2.478059954,3.682565026,1.558949169,1.151459368,1.007890122,1.675189061,0.779405888,0.904947541,2.15019437
Putrescine ,2.903693982,2.914147506,2.847324765,2.784554216,2.614295213,2.742286524,2.771726192,2.71163772,2.696472067,2.750526119,2.733128619,2.834591685,,M3 D,D,1.118861135,0.898175147,3.169462405,2.614295213,1.61330554,2.383897559,1.01936566,1.632903654,3.869326378,1.744293301,3.620000825,2.575507285,1.761269255,2.156131895,2.916936325,2.180626796,3.500517077,1.918697618,1.094773142,2.843865782,1.971847786,3.923811653,1.712942882,0.865220024,2.051492555,0.980883524,3.446539451,2.181154479,2.745675328,2.481324858,1.545787804,2.231426531,2.889180544,0.482509556,0.81535851,1.026089172,2.371962399,3.483191108,2.500954001,0.304322604,3.766107958,1.778738682,1.003752095,3.126446195,1.311087814,2.430154951,2.8680543,1.6165323,2.807670353,0.539840744,2.423576903,1.201080744,4.471762463,2.769806319,1.894556907,1.606436577,1.827853745,2.795530389,1.959787678,2.769304236,3.566900157,0.798584708,0.45153065,3.095767391,1.599926263,0.121477662,1.0617357,2.664589353,1.197178527,1.549423333,4.322846762,0.748088344,1.832958733,0.970436452,1.799029187,2.198800205,1.351820233,1.622883512,1.698735098,1.964818314,0.728423524,1.63804779,1.569485883,2.57521856,1.210661363,2.619816076,1.399803297,2.210935857,1.19145101,1.602475123,1.90416181,2.730297459,2.133624078,3.565816219,2.152588172,2.010969874,1.892554537,1.053630269,2.563104821,2.135706721,2.637881362,1.176156769,1.834676728,1.243010249,1.657866016,1.219300281,1.715338845,1.6739447,2.823843209,1.526302524,2.294533748,1.239876624,1.211264059,2.471919828,1.820003192,1.1674808,2.573155475,2.107696769,2.069205525,1.194982561,1.614518386,3.411973351,1.515642004,3.533295946,1.105485397,2.418269819,2.385273981,2.341564912,2.430507274,0.748411092,2.422923935,0.410138324,2.762950037,2.013324455,0.313711121,2.271985617,2.088197969,2.325860439,1.532382095,1.812990021,1.802573752,1.942549657,2.415052812,3.598568424,1.480916585,1.120156429,0.962642612,1.783267783,0.740566375,1.013026183,2.054826755
Sarcosine ,1.420768642,1.230055273,1.434585979,1.218676431,1.61330554,1.582507176,1.569318605,1.545104864,1.362347626,1.509989207,1.439038168,1.20829606,,M2 D,D,1.22491158,0.995729104,3.107253597,2.742286524,1.582507176,2.384899262,1.119899362,1.661639968,3.903423017,1.817661617,3.523250457,2.568337525,1.761062886,2.014485671,2.969638265,2.233265056,3.495825855,1.946460566,1.037506343,2.833377713,1.973409106,3.998659696,1.649176545,0.893457206,1.993628421,0.923616743,3.489979742,2.311758149,2.780350452,2.55558177,1.466703751,2.269979871,3.275756545,0.959778307,0.758091781,1.050067001,2.514612247,3.576110821,2.47850016,0.946022587,3.81037319,1.760306934,1.272077327,3.210884972,1.438201019,2.534861073,2.851131022,1.768489945,2.887843748,0.593439116,2.572773566,1.240925728,4.400831522,2.80258019,1.93344903,1.549169753,1.77058692,2.767167127,1.975148398,2.677007834,3.604518892,0.615730086,0.394264341,3.175185285,1.638570664,0.064213198,1.004468905,2.636834265,1.139911718,1.490222727,4.265223844,0.690821651,1.775691909,1.027409331,1.741762362,1.992718572,1.292864184,1.650255617,1.587645676,1.818232865,0.873218071,1.580780967,1.55714885,2.561904708,1.153394553,2.642469731,1.608393852,2.014661115,1.217495176,1.569827333,1.806257638,2.828071242,2.158555686,3.697458247,2.095321347,2.017030078,2.013445139,0.996363475,2.579626103,2.264661712,2.776543416,1.155178686,2.145896202,1.185743437,1.598716999,1.012609553,1.767273262,1.616677877,2.703974892,1.517513447,2.315627489,1.050260514,0.963671471,2.636452571,2.909343086,0.827660189,2.618550704,1.999370411,2.0119387,1.212565756,1.718606615,3.351332165,1.507081993,3.385024956,1.093994361,2.363333795,2.396430739,2.451847782,2.558438772,0.691144398,2.458240406,0.352872124,2.921793048,2.039935958,0.25644527,2.3421984,2.003415341,2.388382243,1.489242242,1.778317663,1.859942821,1.843420158,2.45777443,3.710005987,1.579102427,1.101067665,1.047406008,1.726000959,0.797835421,0.955759396,2.083910871
Alanine ,2.553579083,2.380922537,2.502156908,2.504465453,2.383897559,2.384899262,2.718565221,2.660935334,2.695927677,2.718511539,2.677616375,2.683268851,,M1 P,P,1.252448431,1.058123552,3.062396394,2.771726192,1.569318605,2.718565221,1.452317417,1.708367179,3.909885443,2.08789187,3.253047776,2.639759981,1.983243651,2.151973538,3.211580803,2.457530262,3.538456084,2.21347264,0.765305691,2.880280465,2.455507251,4.104662756,1.651165709,1.028667645,2.380283021,0.65141629,3.68696435,2.358997254,3.103430501,2.898136418,1.489116599,2.588544607,3.102755738,0.773748038,0.485891884,1.239050711,2.561984981,3.706380276,2.896852308,0.867019767,3.997417631,1.952989112,1.075237265,3.303973353,1.891876739,2.653528113,2.910437929,1.968246129,3.453297973,0.852375179,2.697823963,1.2427593,4.103752985,2.893918228,2.126628961,1.27696884,1.49838599,2.943916082,2.16079789,3.373464632,3.924870732,0.76666773,0.122068976,3.311798898,1.532176372,-0.207962251,0.7322683,2.511907501,0.867710957,1.236923428,3.979236236,0.418622133,1.503490978,1.423567691,1.469561433,2.0379212,1.36614356,1.569138211,1.522252894,1.517932525,0.694737042,1.30858005,1.608633062,2.376794728,0.881193781,2.657844592,1.552951264,2.08917082,1.252200225,1.581856514,1.545417908,3.127194775,2.436867646,3.286689162,1.823120409,1.819502845,2.241086079,0.724162883,3.036352094,1.882872198,2.357170787,1.245405665,1.350918496,0.913542642,2.163395752,0.818933821,1.529602755,1.344476956,2.955364245,1.593076636,2.409969428,1.190083182,0.795897366,2.60676353,3.178254883,1.099784864,2.736411221,2.360531621,1.739737763,1.434204586,1.684657541,2.955719923,1.439366094,3.375983897,1.286419007,2.102227506,2.956149252,2.474262704,2.57911905,0.418944879,2.531685735,0.08067793,3.081993161,1.786846821,-0.015745152,2.462448093,1.852863761,2.640225422,1.712403594,1.579782855,1.873119615,1.546097947,3.132317235,3.681207844,1.873262227,1.330578589,1.459054543,1.45380003,1.02409338,0.683558876,2.542349172
Cadaverine ,1.046312858,0.99326605,1.162531034,1.140240614,1.01936566,1.119899362,1.452317417,1.344780088,1.26774726,1.272444669,1.502302045,1.348651233,,M2 P,P,1.269661048,1.106543317,3.029264085,2.71163772,1.545104864,2.660935334,1.344780088,1.792885797,4.01262099,1.950608018,3.330296478,2.67338605,1.894716836,2.164328374,3.197346443,2.537447902,3.488781463,2.200383784,0.855812495,2.882456659,2.352311601,3.980805565,1.642273647,1.177104959,2.388579648,0.741922999,3.692136266,2.440106999,3.129536742,2.904787187,1.697102793,2.476755489,2.958712664,0.682919797,0.576398328,0.953895147,2.612236497,3.796068164,2.835439633,0.951109126,3.924506721,2.024650452,0.996581346,3.31046077,1.753835035,2.587018631,2.947184992,1.898400177,3.35702884,0.784995547,2.671997646,1.22111679,4.222824434,2.93952232,2.037042164,1.367475769,1.588892927,2.885293347,2.031118337,2.720837727,4.002878222,0.821937105,0.212573258,3.394966207,0.976876916,-0.117467469,0.822775082,2.685401436,0.958217813,1.345122085,4.083588046,0.509128396,1.593997915,1.261610347,1.56006837,2.126968649,1.444829371,1.854169534,1.474636568,1.820797492,0.841520895,1.39908698,1.452416552,2.429017798,0.971700643,2.546166999,1.512284389,2.115857138,1.160888963,1.403009555,1.845896307,2.979558661,2.017096408,3.405745871,1.91362735,2.012448295,2.23983302,0.814669659,2.822377884,2.018903494,2.519915086,1.341927244,1.481275048,1.004049514,1.881188896,1.04934021,1.985356064,1.434983888,2.879157848,1.397165905,2.61217078,1.127241067,1.060404072,2.575243293,3.016654221,1.012686955,2.636097281,2.131914392,1.830244703,1.306748171,1.683900575,3.112936151,1.270081139,3.603409702,1.167903151,2.150886613,2.825125378,2.137223374,2.657774577,0.509451143,2.488456304,0.171181654,2.854237876,1.843256401,0.074756772,2.563439024,2.130495231,2.573021213,1.820318294,1.596304252,1.462481682,2.025199088,2.342314287,3.135115571,1.593305206,1.109977321,1.071428535,1.544306966,0.795112983,0.774065617,2.288356694
Aminoisobutyrate ,1.751697698,1.746637547,1.66988295,1.794952805,1.632903654,1.661639968,1.708367179,1.792885797,1.697081533,1.785317164,1.715436491,1.815164017,,F1 P,P,1.367965502,1.276675435,3.264937774,2.696472067,1.362347626,2.695927677,1.26774726,1.697081533,3.939418771,1.903130514,3.371164325,2.835794092,1.733477207,2.229885695,3.102809413,2.461775024,3.505454779,2.152747036,0.866261517,2.899390428,2.267988478,4.017505849,1.607955202,1.1283243,2.365273729,0.752372013,3.738516302,2.479020652,3.12124667,2.864703378,1.76961077,2.326746595,3.203842582,0.973100886,0.586847318,0.891169187,2.77744894,3.748127618,2.873039425,1.123243645,3.966738604,2.092117208,0.928321845,3.239247175,1.814603476,2.722427512,2.882904701,2.130243608,3.364578403,1.012404162,2.285448721,0.900204415,4.210989478,3.082138764,2.175539329,1.377924803,1.599341961,2.809855282,1.974727934,2.880913892,3.870943677,0.649018783,0.223022052,3.174813578,1.437158342,-0.107019539,0.833224103,2.64980418,0.96866684,1.276484076,4.086368907,0.519577369,1.60444695,1.311916266,1.570517404,2.183776987,1.566415702,1.688759594,1.720926639,1.794755278,0.879027061,1.409536014,1.53810716,2.511207397,0.98214967,2.655805339,1.465315322,2.083444724,1.222821294,1.573657549,1.542585,2.851923012,2.098703342,3.381061968,1.924076384,1.834447491,2.203619185,0.825118679,2.894972749,1.997292364,2.474344273,1.308572717,1.552740587,1.014498543,1.764549296,1.092078975,1.734079823,1.445432922,2.408034555,1.395849072,2.56698335,1.190380302,0.90934214,2.761814592,2.993165608,1.266037428,2.738424034,2.269576772,1.840693738,1.307755056,1.645437571,3.101903201,1.495398112,3.587000386,1.397028023,2.158861402,2.910176691,2.01062239,2.581841769,0.519900116,2.424780102,0.181630396,2.869826973,1.862202559,0.085205351,2.351779286,1.905498996,2.811945174,1.684933233,1.621037564,1.583676983,1.921888183,2.757961904,3.587681567,1.613196073,1.165469774,1.045094976,1.554756001,0.96526889,0.784514634,2.175278792
Choline ,3.993674418,3.946056702,3.940753594,4.001731494,3.869326378,3.903423017,3.909885443,4.01262099,3.939418771,4.031472306,3.960543286,3.969845964,,M3 P,P,1.279973193,1.088830984,3.036748733,2.750526119,1.509989207,2.718511539,1.272444669,1.785317164,4.031472306,2.007841428,3.379672025,2.624959757,1.566957565,2.095305616,3.186354156,2.484921176,3.608981847,2.195183964,0.923537144,2.866429245,1.916822631,3.920494284,1.561634815,1.010798472,2.350566196,0.809647599,3.640751867,2.296454037,3.007894992,2.773919957,1.770714117,2.424392373,2.86230897,0.588328231,0.64412279,0.980940021,2.529107432,3.66778738,2.830963499,1.003421727,3.946577324,1.895696172,1.00195666,3.30700944,1.757094414,2.621071021,2.845786857,1.937744271,3.34155333,0.756502974,2.585469895,1.193608635,4.297089639,2.839245236,2.020217664,1.435200482,1.656617644,2.615720261,1.893593065,3.108740392,3.93028924,0.932599739,0.2802966,3.136692561,1.124063554,-0.04974905,0.890499719,2.745082722,1.025942489,1.429973772,4.149811027,0.576852764,1.661722633,1.271172742,1.627793087,2.213160453,1.317674912,1.447167469,1.483303258,1.921618885,0.704318483,1.466811694,1.509837323,2.539878264,1.039425321,2.335546104,1.265781067,2.174567872,1.210983344,1.504930334,1.80036586,2.917808334,2.254410376,3.186993825,1.981352069,2.165463549,2.098472667,0.882394293,2.837032222,1.901220214,2.395014964,1.320150633,1.700407693,1.071774198,1.969794119,1.100253679,1.344521517,1.502708603,3.035045696,1.715105742,2.322772168,1.120541097,1.076688064,2.496761304,1.569393406,0.956937779,2.621896628,2.213325256,1.897969422,1.222133024,1.896420317,3.229611197,1.449770976,3.69616041,1.266680795,2.187499509,2.705688426,2.054826259,2.306513824,0.577175511,2.324553489,0.238904706,2.860194148,1.917123656,0.142478892,2.305880632,2.100797827,2.496503227,1.584516988,1.704729358,1.433859882,2.179420536,2.960558077,3.348279618,1.479553669,1.209657234,0.907497923,1.612031683,0.953265102,0.841790233,2.108482633
