userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000130300	PLVAP	plasmalemma vesicle associated protein	83483	https://www.ncbi.nlm.nih.gov/gene/?term=83483
ENSG00000136011	STAB2	stabilin 2	55576	https://www.ncbi.nlm.nih.gov/gene/?term=55576
ENSG00000187730	GABRD	gamma-aminobutyric acid type A receptor delta subunit	2563	https://www.ncbi.nlm.nih.gov/gene/?term=2563
ENSG00000131097	HIGD1B	HIG1 hypoxia inducible domain family member 1B	51751	https://www.ncbi.nlm.nih.gov/gene/?term=51751
ENSG00000182566	CLEC4G	C-type lectin domain family 4 member G	339390	https://www.ncbi.nlm.nih.gov/gene/?term=339390
ENSG00000225697	SLC26A6	solute carrier family 26 member 6	65010	https://www.ncbi.nlm.nih.gov/gene/?term=65010
ENSG00000213347	MXD3	MAX dimerization protein 3	83463	https://www.ncbi.nlm.nih.gov/gene/?term=83463
ENSG00000221818	EBF2	EBF transcription factor 2	64641	https://www.ncbi.nlm.nih.gov/gene/?term=64641
ENSG00000164619	BMPER	BMP binding endothelial regulator	168667	https://www.ncbi.nlm.nih.gov/gene/?term=168667
ENSG00000077152	UBE2T	ubiquitin conjugating enzyme E2 T	29089	https://www.ncbi.nlm.nih.gov/gene/?term=29089
ENSG00000145708	CRHBP	corticotropin releasing hormone binding protein	1393	https://www.ncbi.nlm.nih.gov/gene/?term=1393
ENSG00000225383	SFTA1P	surfactant associated 1, pseudogene	207107	https://www.ncbi.nlm.nih.gov/gene/?term=207107
ENSG00000140945	CDH13	cadherin 13	1012	https://www.ncbi.nlm.nih.gov/gene/?term=1012
ENSG00000137135	ARHGEF39	Rho guanine nucleotide exchange factor 39	84904	https://www.ncbi.nlm.nih.gov/gene/?term=84904
ENSG00000100526	CDKN3	cyclin dependent kinase inhibitor 3	1033	https://www.ncbi.nlm.nih.gov/gene/?term=1033
ENSG00000160339	FCN2	ficolin 2	2220	https://www.ncbi.nlm.nih.gov/gene/?term=2220
ENSG00000158402	CDC25C	cell division cycle 25C	995	https://www.ncbi.nlm.nih.gov/gene/?term=995
ENSG00000161888	SPC24	SPC24, NDC80 kinetochore complex component	147841	https://www.ncbi.nlm.nih.gov/gene/?term=147841
ENSG00000019169	MARCO	macrophage receptor with collagenous structure	8685	https://www.ncbi.nlm.nih.gov/gene/?term=8685
ENSG00000142748	FCN3	ficolin 3	8547	https://www.ncbi.nlm.nih.gov/gene/?term=8547
ENSG00000146670	CDCA5	cell division cycle associated 5	113130	https://www.ncbi.nlm.nih.gov/gene/?term=113130
ENSG00000204291	COL15A1	collagen type XV alpha 1 chain	1306	https://www.ncbi.nlm.nih.gov/gene/?term=1306
ENSG00000156509	FBXO43	F-box protein 43	286151	https://www.ncbi.nlm.nih.gov/gene/?term=286151
ENSG00000135451	TROAP	trophinin associated protein	10024	https://www.ncbi.nlm.nih.gov/gene/?term=10024
ENSG00000089685	BIRC5	baculoviral IAP repeat containing 5	332	https://www.ncbi.nlm.nih.gov/gene/?term=332
ENSG00000134057	CCNB1	cyclin B1	891	https://www.ncbi.nlm.nih.gov/gene/?term=891
ENSG00000237649	KIFC1	kinesin family member C1	3833	https://www.ncbi.nlm.nih.gov/gene/?term=3833
ENSG00000117724	CENPF	centromere protein F	1063	https://www.ncbi.nlm.nih.gov/gene/?term=1063
ENSG00000154839	SKA1	spindle and kinetochore associated complex subunit 1	220134	https://www.ncbi.nlm.nih.gov/gene/?term=220134
ENSG00000164611	PTTG1	pituitary tumor-transforming 1	9232	https://www.ncbi.nlm.nih.gov/gene/?term=9232
ENSG00000143228	NUF2	NDC80 kinetochore complex component NUF2	83540	https://www.ncbi.nlm.nih.gov/gene/?term=83540
ENSG00000157456	CCNB2	cyclin B2	9133	https://www.ncbi.nlm.nih.gov/gene/?term=9133
ENSG00000131055	COX4I2	cytochrome c oxidase subunit 4I2	84701	https://www.ncbi.nlm.nih.gov/gene/?term=84701
ENSG00000198901	PRC1	protein regulator of cytokinesis 1	9055	https://www.ncbi.nlm.nih.gov/gene/?term=9055
ENSG00000123485	HJURP	Holliday junction recognition protein	55355	https://www.ncbi.nlm.nih.gov/gene/?term=55355
ENSG00000087586	AURKA	aurora kinase A	6790	https://www.ncbi.nlm.nih.gov/gene/?term=6790
ENSG00000111665	CDCA3	cell division cycle associated 3	83461	https://www.ncbi.nlm.nih.gov/gene/?term=83461
ENSG00000090889	KIF4A	kinesin family member 4A	24137	https://www.ncbi.nlm.nih.gov/gene/?term=24137
ENSG00000080986	NDC80	NDC80, kinetochore complex component	10403	https://www.ncbi.nlm.nih.gov/gene/?term=10403
ENSG00000117650	NEK2	NIMA related kinase 2	4751	https://www.ncbi.nlm.nih.gov/gene/?term=4751
ENSG00000165304	MELK	maternal embryonic leucine zipper kinase	9833	https://www.ncbi.nlm.nih.gov/gene/?term=9833
ENSG00000142945	KIF2C	kinesin family member 2C	11004	https://www.ncbi.nlm.nih.gov/gene/?term=11004
ENSG00000066279	ASPM	abnormal spindle microtubule assembly	259266	https://www.ncbi.nlm.nih.gov/gene/?term=259266
ENSG00000117399	CDC20	cell division cycle 20	991	https://www.ncbi.nlm.nih.gov/gene/?term=991
ENSG00000106462	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	2146	https://www.ncbi.nlm.nih.gov/gene/?term=2146
ENSG00000109805	NCAPG	non-SMC condensin I complex subunit G	64151	https://www.ncbi.nlm.nih.gov/gene/?term=64151
ENSG00000183763	TRAIP	TRAF interacting protein	10293	https://www.ncbi.nlm.nih.gov/gene/?term=10293
ENSG00000174371	EXO1	exonuclease 1	9156	https://www.ncbi.nlm.nih.gov/gene/?term=9156
ENSG00000115163	CENPA	centromere protein A	1058	https://www.ncbi.nlm.nih.gov/gene/?term=1058
ENSG00000170312	CDK1	cyclin dependent kinase 1	983	https://www.ncbi.nlm.nih.gov/gene/?term=983
ENSG00000165480	SKA3	spindle and kinetochore associated complex subunit 3	221150	https://www.ncbi.nlm.nih.gov/gene/?term=221150
ENSG00000171388	APLN	apelin	8862	https://www.ncbi.nlm.nih.gov/gene/?term=8862
ENSG00000086991	NOX4	NADPH oxidase 4	50507	https://www.ncbi.nlm.nih.gov/gene/?term=50507
ENSG00000112984	KIF20A	kinesin family member 20A	10112	https://www.ncbi.nlm.nih.gov/gene/?term=10112
ENSG00000127564	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	9088	https://www.ncbi.nlm.nih.gov/gene/?term=9088
ENSG00000175063	UBE2C	ubiquitin conjugating enzyme E2 C	11065	https://www.ncbi.nlm.nih.gov/gene/?term=11065
ENSG00000161800	RACGAP1	Rac GTPase activating protein 1	29127	https://www.ncbi.nlm.nih.gov/gene/?term=29127
ENSG00000268403	LOC644656	uncharacterized LOC644656	644656	https://www.ncbi.nlm.nih.gov/gene/?term=644656
ENSG00000169679	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	699	https://www.ncbi.nlm.nih.gov/gene/?term=699
ENSG00000152253	SPC25	SPC25, NDC80 kinetochore complex component	57405	https://www.ncbi.nlm.nih.gov/gene/?term=57405
ENSG00000072571	HMMR	hyaluronan mediated motility receptor	3161	https://www.ncbi.nlm.nih.gov/gene/?term=3161
ENSG00000101412	E2F1	E2F transcription factor 1	1869	https://www.ncbi.nlm.nih.gov/gene/?term=1869
ENSG00000126787	DLGAP5	DLG associated protein 5	9787	https://www.ncbi.nlm.nih.gov/gene/?term=9787
ENSG00000164283	ESM1	endothelial cell specific molecule 1	11082	https://www.ncbi.nlm.nih.gov/gene/?term=11082
ENSG00000131747	TOP2A	DNA topoisomerase II alpha	7153	https://www.ncbi.nlm.nih.gov/gene/?term=7153
ENSG00000186185	KIF18B	kinesin family member 18B	146909	https://www.ncbi.nlm.nih.gov/gene/?term=146909
ENSG00000154096	THY1	Thy-1 cell surface antigen	7070	https://www.ncbi.nlm.nih.gov/gene/?term=7070
ENSG00000134690	CDCA8	cell division cycle associated 8	55143	https://www.ncbi.nlm.nih.gov/gene/?term=55143
ENSG00000167513	CDT1	chromatin licensing and DNA replication factor 1	81620	https://www.ncbi.nlm.nih.gov/gene/?term=81620
ENSG00000154920	EME1	essential meiotic structure-specific endonuclease 1	146956	https://www.ncbi.nlm.nih.gov/gene/?term=146956
ENSG00000120334	CENPL	centromere protein L	91687	https://www.ncbi.nlm.nih.gov/gene/?term=91687
ENSG00000184374	COLEC10	collectin subfamily member 10	10584	https://www.ncbi.nlm.nih.gov/gene/?term=10584
ENSG00000043355	ZIC2	Zic family member 2	7546	https://www.ncbi.nlm.nih.gov/gene/?term=7546
ENSG00000166851	PLK1	polo like kinase 1	5347	https://www.ncbi.nlm.nih.gov/gene/?term=5347
ENSG00000171848	RRM2	ribonucleotide reductase regulatory subunit M2	6241	https://www.ncbi.nlm.nih.gov/gene/?term=6241
ENSG00000111206	FOXM1	forkhead box M1	2305	https://www.ncbi.nlm.nih.gov/gene/?term=2305
ENSG00000160957	RECQL4	RecQ like helicase 4	9401	https://www.ncbi.nlm.nih.gov/gene/?term=9401
ENSG00000165682	CLEC1B	C-type lectin domain family 1 member B	51266	https://www.ncbi.nlm.nih.gov/gene/?term=51266
ENSG00000172244	C5orf34	chromosome 5 open reading frame 34	375444	https://www.ncbi.nlm.nih.gov/gene/?term=375444
ENSG00000100162	CENPM	centromere protein M	79019	https://www.ncbi.nlm.nih.gov/gene/?term=79019
ENSG00000178999	AURKB	aurora kinase B	9212	https://www.ncbi.nlm.nih.gov/gene/?term=9212
ENSG00000180785	OR51E1	olfactory receptor family 51 subfamily E member 1	143503	https://www.ncbi.nlm.nih.gov/gene/?term=143503
ENSG00000260942	CAPN10-DT	CAPN10 divergent transcript	101752400	https://www.ncbi.nlm.nih.gov/gene/?term=101752400
ENSG00000121211	MND1	meiotic nuclear divisions 1	84057	https://www.ncbi.nlm.nih.gov/gene/?term=84057
ENSG00000112742	TTK	TTK protein kinase	7272	https://www.ncbi.nlm.nih.gov/gene/?term=7272
ENSG00000100302	RASD2	RASD family member 2	23551	https://www.ncbi.nlm.nih.gov/gene/?term=23551
ENSG00000148773	MKI67	marker of proliferation Ki-67	4288	https://www.ncbi.nlm.nih.gov/gene/?term=4288
ENSG00000094804	CDC6	cell division cycle 6	990	https://www.ncbi.nlm.nih.gov/gene/?term=990
ENSG00000008300	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	1951	https://www.ncbi.nlm.nih.gov/gene/?term=1951
ENSG00000071539	TRIP13	thyroid hormone receptor interactor 13	9319	https://www.ncbi.nlm.nih.gov/gene/?term=9319
ENSG00000143476	DTL	denticleless E3 ubiquitin protein ligase homolog	51514	https://www.ncbi.nlm.nih.gov/gene/?term=51514
ENSG00000011426	ANLN	anillin actin binding protein	54443	https://www.ncbi.nlm.nih.gov/gene/?term=54443
ENSG00000126838	PZP	PZP, alpha-2-macroglobulin like	5858	https://www.ncbi.nlm.nih.gov/gene/?term=5858
ENSG00000140534	TICRR	TOPBP1 interacting checkpoint and replication regulator	90381	https://www.ncbi.nlm.nih.gov/gene/?term=90381
ENSG00000138778	CENPE	centromere protein E	1062	https://www.ncbi.nlm.nih.gov/gene/?term=1062
